review_description,bug_category,review_date,appVersion
my payment isn t getting processed,Payment Issue,2022-06-14 13:41:58,1.4.2
doesn t let get any data add on packs doesn t respond to touch inputs update it was solved after sometime don t know how it happened,Update Issue,2022-07-07 18:46:23,
i actually can t remember my password to login to my broadband account and there s no option to reset the password as well therefore i don t get any updates on my wifi usage please look into this matter and get back to me,Login Error,2022-08-24 15:29:13,1.4.2
really bad i try to sign and always pop up invalid passwor or user name and also my father went slt gampaha branch to create slt account to phone the branch members are also even dont know how to create the account finally we decided to switch again to dialog such a biggest company failed to create app for customers really bad and wrost,Payment Issue,2021-05-15 10:41:05,
user interface is full of shi cant even log in to acc,Login Error,2022-07-08 00:56:07,1.4.2
useless connection very slow,Slow Performance,2020-05-02 11:03:32,1.0.0
some channel at peo tv are disconnected,Other,2023-08-12 20:07:32,
bill payment page not fill my account number but show that previous page and when enter telephone number it getting error wrong telephone number so how to pay,Payment Issue,2022-08-27 18:34:29,1.4.2
update was bad,Update Issue,2021-10-14 07:04:09,1.3.2
no way to reload prepaid connection,Other,2024-01-01 16:24:43,
this app always get crashed when i try to pay bill through this app it always shows that my number is wrong please give a hint on required format so that it is not confusing there are lots of options but very few is working,Crash/Freeze,2022-01-13 08:44:45,1.4.2
after the last update connection change dropdown is not visible at the top please fix it,Crash/Freeze,2023-01-12 19:08:06,1.5.4
very very bad signal strength can t do anything wifi is not connecting hopeless service,Other,2021-10-28 18:35:14,1.4.1
can t pay ebill can t type otp number please fix this,Payment Issue,2021-04-24 22:05:57,1.2.2
i cleared all the amounts in bills but still the service is barred,Payment Issue,2023-02-18 13:12:24,1.6.1
worst app ever currently the app displays service temporarily unavailable not only now for the past 2 or 3 weeks i am having this issue,UI Issue,2023-08-11 11:17:49,1.6.1
hopeless app always sign in issues and not at all user friendly,Login Error,2024-11-15 21:51:34,2.0.2
change contact information is not working,Crash/Freeze,2025-04-25 07:50:24,2.1.0
i cant pay my e bill using app previous month it works but now its doesnt work,Payment Issue,2022-06-28 20:35:00,1.4.2
can t even pay the bill anymore,Payment Issue,2022-09-09 13:08:35,1.4.2
this app doesn t work old app didn t accept my user credentials all of a sudden i uninstalled that and trying to install this but can t install,Login Error,2022-07-07 23:35:47,
i cant add pakages in our wifi connection it always says server error when we try to add pakages specially when we try to add youth add on and youtube pakage it accepts once in every 100 attempts rarely since we couldnt activate those pakages via call this is a big head ache to us a spcial note is that all the mobiles that are logged in my slt app are showing the same internal server error issue we also changed our router once but still the problem is not cured this is happening since a year,Crash/Freeze,2023-08-21 17:45:44,1.7.0
we can t use the app if the connection is disconnected i wanted to file a complaint through the app but getting the error the connection is bot active despite making the full settlement,Other,2023-11-05 16:47:52,1.7.0
app is not stable very slow response,Slow Performance,2021-06-01 00:58:32,1.3.2
there are so many bugs and crashes this app doesn t works properly,Crash/Freeze,2021-06-01 10:40:33,1.3.2
data usage doesn t update,Update Issue,2024-02-17 04:50:03,1.7.0
pre paid connection can not add fix it quickly,Other,2023-07-08 21:06:40,1.6.1
so many bugs cant even log in to the account so annoying worst app ever,Login Error,2020-12-29 18:09:23,1.0.6
can t even send a complaint can t update number can t even pay as with everything else slt you tell them take your money and they say no thanks,Update Issue,2022-05-29 16:58:31,1.4.2
the ac password change otp takes days to respond they are not managing the app with right tools,Crash/Freeze,2024-07-06 21:10:36,1.8.0
stupid f app slow loading time wasting app uninstalled,Slow Performance,2021-10-09 02:25:55,
it s don t display my security details,UI Issue,2023-09-27 07:49:06,1.7.0
i yes it very good but now it ask for update when i choose to update update continue when open the app again update message come again what i have to do,Update Issue,2021-10-20 18:58:55,
installed the app still waiting for the otp to sign up been almost 5 minutes,Slow Performance,2023-08-07 19:58:19,1.6.1
so basically you guys taking out the working app and replacing to a broken app ggwp cant even login what a joke,Login Error,2022-07-02 20:35:51,
not good one more times loading and finally says ooops something went wrong i fish they resolve this bugs,Slow Performance,2023-02-04 07:43:09,1.6.0
it looses all account data when update worse app,Update Issue,2021-12-31 09:35:48,1.4.2
useless app each time i log into the appa oops something s wrong no details are shown no point in using this,Login Error,2020-10-02 10:51:08,1.0.4
the real time update isn t working past three days it shows the same usage got screenshot of the display for evidence,UI Issue,2024-04-17 11:27:05,
the app isn t even working properly i can t view my bill and i can t pay as well tried registering to the online billing service but that seems to crash as well the app needs some serious attention and maintenance,Crash/Freeze,2021-06-01 06:49:09,1.3.2
payment system issue,Payment Issue,2023-01-13 13:36:29,1.5.4
her wifi isn t working,Other,2020-07-15 22:22:37,
what is wrong with the devs bro fix the bugs telling error in information update is not bug fixing disappointed af worst app ever and slow as christmas,Slow Performance,2025-04-22 19:52:34,
cannot add promo codes please check the character length validation of the promo code field redeem button is disabled even after adding the promo code,UI Issue,2022-07-12 19:42:51,1.4.2
tried to check the bills no response,Payment Issue,2022-09-08 16:11:46,
i am trying to login to the app for the past three days there is no direction on how to do this called 1212 and i got three different set of instructions and after trying all of that now it says account locked for 24 hrs what a joke i did not even log into the app and it is already locked sent an email to 1212 mail and they are also not replying is this ur level of service slt such a shame,Login Error,2021-07-26 23:41:39,1.3.2
complain section logic bill system reconnect erro service barred 1212 service complain online app low pay bill complain submit logic,Payment Issue,2024-02-06 13:18:04,1.7.0
online payment gateway doesn t work,Payment Issue,2020-06-24 20:46:52,1.0.0
the online payment method doesn t work it even send the code for your for phone but after entering it notification is received saying something went wrong i tried 5 different cards,Payment Issue,2020-05-14 13:47:08,1.0.0
i would like to report a bug in the broadband log in flow of myslt app according to 1212 officers i should be able to use the same credentials as slt broadband app but each time i tried it says invalid user name or password tried to explain the scenario to the 1212 officer and she was resetting my password over and over then i sent an email to 1212 they also has done a password reset and shared me the password at least hope this account is managed by the dev team,Login Error,2022-05-23 11:59:12,1.4.2
i was using this app my bill is also linked to it however my details were automatically deleted and then i tried to enter my telephone number account number and my id but i got an error message saying my id is wrong,Payment Issue,2025-01-06 13:02:04,2.0.8
tried to change package gets an internal error message honestly why do you even bother stay in the stone age like you used to slt,Crash/Freeze,2021-07-15 13:35:57,1.3.2
why isn t service upgrade features doesn t work i need to upgrade my adsl connection to fiber connection,Other,2020-07-09 11:57:36,1.0.4
i just paid the november month bill thru this app and ended up getting freezed but the amount for deducted from the bank account the app is really useless garbage since app getting freeze during payment is horrible i need an immediate solution,Crash/Freeze,2023-12-02 23:30:33,1.7.0
dose not updated payment details,Payment Issue,2021-05-01 21:10:47,1.2.8
there is a problem with this app in the new update it does not show two accounts it was shown in the previous version,Update Issue,2022-11-04 08:53:02,1.5.2
it s been months since i have downloaded this app but still unable to login to my broadband account disappointed,Login Error,2022-08-16 08:03:35,1.4.2
i am unable to get my data balance of my prolink connection,Other,2021-06-07 06:01:05,1.3.2
requested a package upgrade from web pro to any storm 2 days after the request package change didn t take affect so had to call them to request the upgrade than then they have upgraded it to the wrong package web master which costs 2000 rupees more and denies that they ve received upgrade requests through the app saying to which specific package i wanted upgraded to even tho says request pending when i try to send the upgrade request again terrible app terrible service,Crash/Freeze,2021-09-23 12:35:16,1.3.2
why the remaining data is not displayed for unlimited flash 10 users,UI Issue,2024-11-08 20:51:17,2.0.2
totally worst app it s servers still showing error we could not unsubscribe some data automatically increased my bill payment value,Payment Issue,2021-08-03 20:14:19,1.3.2
app is always doesn t work i am unable to upgrade my package and pay my bill not recommending worst app,Payment Issue,2021-09-01 00:48:33,1.3.2
worst app i can t log in to my broadband account via this it says failed to load not a smooth app totally disappointed,Login Error,2022-08-03 17:58:26,1.4.2
this app is complete garbage i got a new fibre connection after days of them bugging us and now after i reinstalled the app under their instructions i cannot add in my existing account and check details anymore,Other,2024-07-05 00:46:38,1.8.0
this app is full of errors the app is not working and i can t see my data balance can t even perform a simple task inside the application can only view the payment amount don t waste your time,Payment Issue,2024-08-21 08:37:14,1.8.0
bill details are not showing now,Payment Issue,2020-05-20 15:07:00,1.0.0
we cannot view bill at anytime its taking more than two weeks to fix our bill but they debit it to our account very bad service,Payment Issue,2024-03-07 20:14:33,
very bad becuse this new update it isnt work,Update Issue,2024-11-27 09:26:03,1.8.0
worst app when i try to add my slt username it say fail to add slt data,Payment Issue,2021-06-21 15:31:57,1.3.2
can t pay the bill online,Payment Issue,2021-04-29 09:02:47,1.2.8
unable to view remaining data buy extra gb package details it keeps prompting a message to change the slt package to view data usage,Crash/Freeze,2023-01-28 10:31:08,
the app has so many bugs when i went to pay my bill it wouldn t respond,Payment Issue,2023-08-24 15:22:39,
good app but sometimes it crashes,Crash/Freeze,2023-02-01 16:23:15,1.5.4
worst app ever doesn t send me any details despite requesting login change and also doesn t work well so disappointing,Login Error,2021-09-25 10:46:08,
mobile online payment gateway is not working please fix it couldn t pay the bills,Payment Issue,2024-11-25 08:05:58,2.0.6
most of the time this app shows an error when i try to check the data balance which reminds that i can t expect more than this from a government based internet connection with low skilled developers,Other,2023-02-02 21:21:16,1.6.0
long time i using this app for pay my bill but recently i cant pay using this app after all filing and say time out and not open otp sections why is that happen i pay other light and water there app has not that issue,Payment Issue,2022-05-26 15:15:03,1.4.2
very poor app most of the time it doesnt work they can t make proper app for their connection,Other,2023-05-29 22:58:34,1.6.1
hi i was buy a slt mobitel router four days ago but still i can t log into your app and see my data details i have try on web also but its impossible every time i try the app indicates adding erro please fix that,Login Error,2023-12-16 13:51:53,1.7.0
well the app is overall okay with me but the main issue that is visible to me right now is when most of the time i m about to login to the app and check my data balance and details there are messages shows up displaying service temporarily unavailable oops something went wrong please try again shortly and this really mess me up most of the time btw sometimes everything loads up but the data balance shows n a if you guys can change this i will change my review to 5star immediately,Login Error,2023-05-31 22:08:43,1.6.1
well the app is overall okay with me but the main issue that is visible to me right now is when most of the time i m about to login to the app and check my data balance and details there are messages shows up displaying service temporarily unavailable oops something went wrong please try again shortly and this really mess me up most of the time btw sometimes everything loads up but the data balance shows n a if you guys can change this i will change my review to 5star immediately,Login Error,2023-05-31 21:55:14,1.6.1
when a new version is available we are not allowed to use the existing version without updating when there is no space left in the phone to update the app is not usable at all,Update Issue,2022-01-16 09:43:09,
garbage 90 of the time this app shows a exclamation mark at the home screen it s not working specially at the end of the month so you can t unsubscribe from the addons,UI Issue,2021-06-01 07:53:56,1.3.2
useless after the update i connot login using old credential even customer care rep doesn t know about it,Login Error,2021-06-25 10:25:19,1.3.2
yesterday i paid my outstanding amount via online but still it has not been updated,Update Issue,2021-06-19 22:24:07,1.3.2
app must update bill payment details immediately we paid it,Payment Issue,2021-05-29 08:35:20,1.2.8
good but sometimes it crash and showing n a in data usage i think that is the only problem i think you will fix it soon asap,Crash/Freeze,2021-11-27 06:23:23,1.4.1
worst internet provider when we done a payment it s not updated on system ontime,Payment Issue,2023-04-28 02:21:09,1.6.1
